seconds	speed	acc_on	acc_active	acc_gap_setting	acc_set_speed	acc_dist	gps_lat	gps_long	gps_heading	vsl_last_update	vsl_speed	vsl_mode
58094.630	27.03	1	1	3	27.72	0	37.934698500000	-122.32699366667	175.2	22	65	1
58094.684	27.03	1	1	3	27.72	0	37.934698500000	-122.32699366667	175.2	22	65	1
58094.733	27.06	1	1	3	27.72	0	37.934698500000	-122.32699366667	175.2	22	65	1
58094.785	27.06	1	1	3	27.72	0	37.934698500000	-122.32699366667	175.2	22	65	1
58094.834	27.06	1	1	3	27.72	0	37.934649833333	-122.32698850000	175.2	22	65	1
58094.884	27.08	1	1	3	27.72	0	37.934649833333	-122.32698850000	175.2	22	65	1
58094.934	27.08	1	1	3	27.72	0	37.934649833333	-122.32698850000	175.2	22	65	1
58094.985	27.11	1	1	3	27.72	0	37.934601166667	-122.32698266667	174.6	22	65	1
58095.034	27.11	1	1	3	27.72	0	37.934601166667	-122.32698266667	174.6	22	65	1
58095.081	27.14	1	1	3	27.72	0	37.934601166667	-122.32698266667	174.6	22	65	1
58095.133	27.17	1	1	3	27.72	0	37.934601166667	-122.32698266667	174.6	22	65	1
58095.185	27.17	1	1	3	27.72	0	37.934552666667	-122.32697600000	173.8	22	65	1
58095.234	27.17	1	1	3	27.72	0	37.934552666667	-122.32697600000	173.8	22	65	1
58095.284	27.06	1	1	3	27.72	0	37.934552666667	-122.32697600000	173.8	22	65	1
58095.334	27.06	1	1	3	27.72	0	37.934552666667	-122.32697600000	173.8	22	65	1
58095.385	27.00	1	1	3	27.72	0	37.934552666667	-122.32697600000	173.8	22	65	1
58095.433	27.00	1	1	3	27.72	0	37.934504166667	-122.32696866667	173.2	22	65	1
58095.484	27.06	1	1	3	27.72	0	37.934504166667	-122.32696866667	173.2	22	65	1
58095.533	27.08	1	1	3	27.72	0	37.934504166667	-122.32696866667	173.2	22	65	1
58095.585	27.08	1	1	3	27.72	0	37.934504166667	-122.32696866667	173.2	22	65	1
58095.633	27.08	1	1	3	27.72	0	37.934455666667	-122.32696083333	172.7	22	65	1
58095.684	27.11	1	1	3	27.72	0	37.934455666667	-122.32696083333	172.7	22	65	1
58095.734	27.11	1	1	3	27.72	0	37.934455666667	-122.32696083333	172.7	22	65	1
58095.785	27.14	1	1	3	27.72	0	37.934455666667	-122.32696083333	172.7	22	65	1
58095.834	27.14	1	1	3	27.72	0	37.934407333333	-122.32695200000	171.8	22	65	1
58095.884	27.08	1	1	3	27.72	0	37.934407333333	-122.32695200000	171.8	22	65	1
58095.934	27.08	1	1	3	27.72	0	37.934407333333	-122.32695200000	171.8	22	65	1
58095.985	27.06	1	1	3	27.72	0	37.934407333333	-122.32695200000	171.8	22	65	1
58096.034	27.06	1	1	3	27.72	0	37.934359166667	-122.32694233333	171.0	22	65	1
58096.084	27.03	1	1	3	27.72	0	37.934359166667	-122.32694233333	171.0	22	65	1
58096.134	27.03	1	1	3	27.72	0	37.934359166667	-122.32694233333	171.0	22	65	1
58096.185	27.00	1	1	3	27.72	0	37.934359166667	-122.32694233333	171.0	22	65	1
58096.234	27.00	1	1	3	27.72	0	37.934311166667	-122.32693200000	170.4	22	65	1
